dial_M,nombre_canal_descartado,evento_descartado,motivo
?,DAZN (Ver en directo),00:00-Creighton-Butler,no_dial_detected
?,DAZN App Gratis (Ver gratis),00:00-Creighton-Butler,no_dial_detected
?,CONCACAF YouTube,00:00-San Cristóbal y Nieves-Panamá,no_dial_detected
?,DAZN App Gratis (Ver gratis),00:00-Indígenas de Matagalpa-Real Madriz FC,no_dial_detected
?,FIFA+,00:00-Indígenas de Matagalpa-Real Madriz FC,no_dial_detected
?,ATP Tennis TV,00:15-J. Brooksby-A. Popyrin,no_dial_detected
?,LPF Play,00:30-Excursionistas-Defensores Unidos,no_dial_detected
?,LPF Play,00:30-Real Pilar-Deportivo Merlo,no_dial_detected
?,LaLiga+ Plus,00:30-CA Argentino Junín-Racing Club Chivilcoy,no_dial_detected
?,DAZN App Gratis (Ver gratis),01:00-Nueva Caledonia-Papúa Nueva Guinea,no_dial_detected
?,FIFA+,01:00-Nueva Caledonia-Papúa Nueva Guinea,no_dial_detected
?,ATP Tennis TV,01:00-G. Monfils-A. Galarneau,no_dial_detected
?,DAZN (Ver en directo),01:00-New Jersey Devils-Toronto Maple Leafs,no_dial_detected
?,DAZN (Ver en directo),01:00-Detroit Red Wings-Vegas Golden Knights,no_dial_detected
?,CONCACAF YouTube,01:00-Haití-Curazao,no_dial_detected
?,DAZN (Ver en directo),01:00-New York Knicks-Oklahoma C. Thunder,no_dial_detected
?,NBA League Pass,01:00-New York Knicks-Oklahoma C. Thunder,no_dial_detected
73,DAZN Baloncesto (M73 O126),01:00-New York Knicks-Oklahoma C. Thunder,mapping_not_found_for: DAZN BALONCESTO
?,Fanatiz (Ver en directo),01:00-Lanús-Boca Juniors,no_dial_detected
?,M+ Vamos (8 y 50),01:00-Lanús-Boca Juniors,no_dial_detected
304,M+ #Vamos Bar (304),01:00-Lanús-Boca Juniors,mapping_not_found_for: #VAMOS BAR
?,Movistar+ Lite,01:00-Lanús-Boca Juniors,no_dial_detected
?,NBA League Pass,01:30-Philadelphia 76ers-Utah Jazz,no_dial_detected
?,NBA League Pass,01:30-Boston Celtics-Charlotte Hornets,no_dial_detected
?,RCN Nuestra Tele,02:00-Fortaleza-Jaguares FC,no_dial_detected
?,CONCACAF YouTube,02:00-Canadá-Nicaragua,no_dial_detected
?,CONCACAF YouTube,02:00-Honduras-Trinidad y Tobago,no_dial_detected
?,DAZN App Gratis (Ver gratis),02:00-UNAN Managua-Diriangén FC,no_dial_detected
?,FIFA+,02:00-UNAN Managua-Diriangén FC,no_dial_detected
?,NBA League Pass,02:00-Memphis Grizzlies-Portland Trail Blazers,no_dial_detected
?,ATP Tennis TV,02:30-J. Fonseca-R. Collignon,no_dial_detected
?,DAZN App Gratis (Ver gratis),03:00-Samoa Americana-Nueva Zelanda,no_dial_detected
?,FIFA+,03:00-Samoa Americana-Nueva Zelanda,no_dial_detected
?,ATP Tennis TV,03:00-Z. Svajda-M. Cilic,no_dial_detected
?,WTA TV,03:00-B. Andreescu-K. Rakhimova,no_dial_detected
?,Tennis Channel - Orange TV (131),03:00-B. Andreescu-K. Rakhimova,no_dial_detected
?,DAZN (Ver en directo),03:30-Milwaukee Bucks-Atlanta Hawks,no_dial_detected
?,NBA League Pass,03:30-Milwaukee Bucks-Atlanta Hawks,no_dial_detected
74,DAZN Baloncesto 2 (M74 O127),03:30-Milwaukee Bucks-Atlanta Hawks,mapping_not_found_for: DAZN BALONCESTO 2
?,OneFootball,04:00-Filipinas-Corea del Sur,no_dial_detected
?,AFC Asian Cup YouTube,04:00-Filipinas-Corea del Sur,no_dial_detected
?,DAZN (Ver en directo),04:00-Anaheim Ducks-New York Islanders,no_dial_detected
?,DAZN (Ver en directo),04:00-Vancouver Canucks-Carolina Hurricanes,no_dial_detected
?,DAZN (Ver en directo),04:00-Seattle Kraken-St. Louis Blues,no_dial_detected
?,ATP Tennis TV,04:30-S. Tsitsipas-D. Shapovalov,no_dial_detected
?,WTA TV,04:30-S. Stephens-MC. Osorio,no_dial_detected
?,Tennis Channel - Orange TV (131),04:30-S. Stephens-MC. Osorio,no_dial_detected
?,NBA League Pass,04:30-Los Angeles Clippers-Indiana Pacers,no_dial_detected
?,DAZN App Gratis (Ver gratis),05:00-Vanuatu-Fiyi,no_dial_detected
?,FIFA+,05:00-Vanuatu-Fiyi,no_dial_detected
67,Movistar Golf (M67),Jornada 1,mapping_not_found_for: MOVISTAR GOLF
?,DAZN App Gratis (Ver gratis),07:00-Samoa-Islas Salomón,no_dial_detected
?,FIFA+,07:00-Samoa-Islas Salomón,no_dial_detected
53,M+ Vamos 3 (53),Jornada 1,mapping_not_found_for: VAMOS 3
68,Movistar Golf 2 (M68),Jornada 1,mapping_not_found_for: MOVISTAR GOLF 2
?,OneFootball,10:00-Irán-Australia,no_dial_detected
?,AFC Asian Cup YouTube,10:00-Irán-Australia,no_dial_detected
?,Premier Padel YouTube,2ª Ronda Premier Padel Tour,no_dial_detected
67,Movistar Golf (M67),Jornada 1,mapping_not_found_for: MOVISTAR GOLF
?,EHF TV,15:00-Ucrania-Lituania,no_dial_detected
?,EHF TV,17:00-Croacia-Francia,no_dial_detected
?,EHF TV,17:30-Finlandia-Kosovo,no_dial_detected
?,EHF TV,18:00-Eslovaquia-Rumanía,no_dial_detected
?,EHF TV,18:00-Hungría-Dinamarca,no_dial_detected
?,EHF TV,18:00-Polonia-Noruega,no_dial_detected
?,EHF TV,18:45-SC Pick Szeged-GOG Gudme,no_dial_detected
?,EHF TV,18:45-CS Dinamo București-Kolstad Håndball,no_dial_detected
?,FANSEAT,19:00-Al Riffa-Al Muharraq,no_dial_detected
?,FANSEAT,19:00-Al-Shabab Manama-Al-Ahli Club,no_dial_detected
?,EHF TV,19:15-Suiza-Holanda,no_dial_detected
?,EHF TV,20:00-Bosnia-Italia,no_dial_detected
?,ATP Tennis TV,20:00-H. Hurkacz-A. Kovacevic,no_dial_detected
?,ATP Tennis TV,20:00-S. Korda-F. Comesana,no_dial_detected
?,ATP Tennis TV,20:00-T. Atmane-G. Dimitrov,no_dial_detected
?,ATP Tennis TV,20:00-D. Mérida Aguilar-A. Michelsen,no_dial_detected
?,ATP Tennis TV,20:00-M. Zheng-A. Cazaux,no_dial_detected
?,WTA TV,20:00-K. Siniakova-S. Kenin,no_dial_detected
